delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7165,ORD-100205,RDR-028,2024-04-15 10:57:55,2024-04-15 11:56:55,Kurla,7.1,success
DEL-7166,ORD-100206,RDR-009,2024-04-15 15:31:40,2024-04-15 16:15:40,Koramangala,1.3,success
DEL-7167,ORD-100207,RDR-006,2024-04-15 15:20:10,2024-04-15 16:13:10,Bandra,2.5,success
DEL-7168,ORD-100208,RDR-015,2024-04-15 10:26:32,2024-04-15 10:53:32,HSR Layout,5.7,success
DEL-7169,ORD-100209,RDR-012,2024-04-15 14:21:43,2024-04-15 15:14:43,Kurla,6.8,success
DEL-7170,ORD-100210,RDR-025,2024-04-15 21:41:02,2024-04-15 22:14:02,HSR Layout,5.7,success
DEL-7171,ORD-100211,RDR-002,2024-04-15 21:25:06,2024-04-15 21:47:06,Rohini,1.6,success
DEL-7172,ORD-100212,RDR-002,2024-04-15 16:04:04,2024-04-15 17:12:04,Hebbal,6.2,success
DEL-7173,ORD-100213,RDR-026,2024-04-15 19:26:32,2024-04-15 19:54:32,Andheri East,6.2,success
DEL-7174,ORD-100214,RDR-018,2024-04-15 16:51:09,2024-04-15 17:47:09,South Delhi,5.2,success
DEL-7175,ORD-100215,RDR-018,2024-04-15 09:50:13,2024-04-15 11:04:13,Andheri East,6.3,success
DEL-7176,ORD-100216,RDR-019,2024-04-15 09:38:42,2024-04-15 10:42:42,Rohini,5.1,success
DEL-7177,ORD-100218,RDR-024,2024-04-15 23:06:28,2024-04-16 00:00:28,Bandra,2.4,success
DEL-7178,ORD-100219,RDR-017,2024-04-15 10:30:01,2024-04-15 10:58:01,Borivali,4.3,success
DEL-7179,ORD-100220,RDR-012,2024-04-15 19:54:32,2024-04-15 21:01:32,HSR Layout,6.1,success
DEL-7180,ORD-100221,RDR-002,2024-04-15 15:27:31,,Rohini,7.2,failed
DEL-7181,ORD-100222,RDR-008,2024-04-15 11:11:33,2024-04-15 11:55:33,South Delhi,7.8,success
DEL-7182,ORD-100223,RDR-007,2024-04-15 19:39:52,2024-04-15 20:31:52,Koramangala,5.5,success
DEL-7183,ORD-100224,RDR-005,2024-04-15 12:21:23,2024-04-15 13:17:23,Andheri East,5.1,success
DEL-7184,ORD-100225,RDR-020,2024-04-15 09:28:36,2024-04-15 09:53:36,Hebbal,2.5,success
DEL-7185,ORD-100227,RDR-016,2024-04-15 22:14:37,2024-04-15 23:12:37,Thane,1.7,success
DEL-7186,ORD-100228,RDR-008,2024-04-15 09:17:50,2024-04-15 10:21:50,Jayanagar,4.7,success
DEL-7187,ORD-100229,RDR-017,2024-04-15 19:54:37,2024-04-15 20:50:37,Andheri West,4.7,success
DEL-7188,ORD-100230,RDR-022,2024-04-15 20:09:13,2024-04-15 21:08:13,Rohini,2.9,success
DEL-7189,ORD-100231,RDR-013,2024-04-15 14:06:35,2024-04-15 14:32:35,Lajpat Nagar,2.5,success
DEL-7190,ORD-100232,RDR-002,2024-04-15 08:40:24,2024-04-15 09:45:24,Borivali,7.7,success
DEL-7191,ORD-100233,RDR-012,2024-04-15 22:43:00,2024-04-15 23:20:00,Indiranagar,6.5,success
DEL-7192,ORD-100234,RDR-009,2024-04-15 20:13:12,2024-04-15 20:55:12,Lajpat Nagar,7.7,success
DEL-7193,ORD-100237,RDR-009,2024-04-15 17:46:22,2024-04-15 18:19:22,Thane,7.3,success
DEL-7194,ORD-100238,RDR-002,2024-04-15 13:56:47,2024-04-15 15:04:47,Hebbal,7.0,success
DEL-7195,ORD-100240,RDR-020,2024-04-15 18:43:55,2024-04-15 19:20:55,Borivali,4.3,success
DEL-7196,ORD-100242,RDR-009,2024-04-15 11:24:17,2024-04-15 12:34:17,Andheri East,4.4,success
DEL-7197,ORD-100243,RDR-004,2024-04-15 08:52:06,2024-04-15 09:34:06,Borivali,1.1,success
DEL-7198,ORD-100244,RDR-026,2024-04-15 14:00:36,2024-04-15 15:15:36,Dwarka,2.2,success
DEL-7199,ORD-100245,RDR-009,2024-04-15 21:00:39,2024-04-15 22:01:39,Andheri East,3.0,success
DEL-7200,ORD-100248,RDR-021,2024-04-15 21:55:08,,Borivali,5.4,failed
DEL-7201,ORD-100249,RDR-018,2024-04-15 21:09:40,2024-04-15 21:51:40,Borivali,3.0,success
DEL-7202,ORD-100250,RDR-013,2024-04-15 23:05:30,2024-04-16 00:10:30,Jayanagar,6.2,success
DEL-7203,ORD-100252,RDR-001,2024-04-15 11:04:29,2024-04-15 11:38:29,Hebbal,1.6,success
DEL-7204,ORD-100253,RDR-004,2024-04-15 13:57:26,,Whitefield,6.8,failed
DEL-7205,ORD-100254,RDR-024,2024-04-15 20:20:28,2024-04-15 21:00:28,Jayanagar,2.1,success
DEL-7206,ORD-100255,RDR-006,2024-04-15 10:46:30,,North Delhi,3.3,failed
