delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7207,ORD-100256,RDR-004,2024-04-16 10:55:50,2024-04-16 11:59:50,Bandra,4.8,success
DEL-7208,ORD-100257,RDR-012,2024-04-16 22:39:20,2024-04-16 23:35:20,Hebbal,2.3,success
DEL-7209,ORD-100258,RDR-029,2024-04-16 21:51:55,,South Delhi,6.1,failed
DEL-7210,ORD-100259,RDR-005,2024-04-16 19:15:39,2024-04-16 19:37:39,South Delhi,6.8,success
DEL-7211,ORD-100261,RDR-027,2024-04-16 23:35:56,2024-04-17 00:45:56,Rohini,6.0,success
DEL-7212,ORD-100262,RDR-019,2024-04-16 15:49:02,2024-04-16 16:42:02,Jayanagar,5.6,success
DEL-7213,ORD-100263,RDR-014,2024-04-16 21:07:06,2024-04-16 21:53:06,HSR Layout,6.3,success
DEL-7214,ORD-100264,RDR-008,2024-04-16 14:50:34,2024-04-16 15:10:34,Karol Bagh,3.1,success
DEL-7215,ORD-100265,RDR-016,2024-04-16 17:34:49,2024-04-16 18:40:49,North Delhi,3.3,success
DEL-7216,ORD-100266,RDR-020,2024-04-16 23:29:57,2024-04-17 00:36:57,Indiranagar,5.6,success
DEL-7217,ORD-100267,RDR-019,2024-04-16 19:25:19,,Hebbal,6.3,failed
DEL-7218,ORD-100268,RDR-018,2024-04-16 09:37:27,2024-04-16 10:45:27,Karol Bagh,1.9,success
DEL-7219,ORD-100269,RDR-012,2024-04-16 22:37:41,2024-04-16 23:39:41,Karol Bagh,3.9,success
DEL-7220,ORD-100270,RDR-005,2024-04-16 13:59:22,2024-04-16 14:31:22,South Delhi,5.8,success
DEL-7221,ORD-100271,RDR-025,2024-04-16 11:14:03,2024-04-16 11:47:03,Kurla,4.8,success
DEL-7222,ORD-100272,RDR-001,2024-04-16 22:55:46,2024-04-16 23:18:46,Bandra,4.3,success
DEL-7223,ORD-100273,RDR-017,2024-04-16 20:09:17,2024-04-16 20:31:17,Thane,2.7,success
DEL-7224,ORD-100274,RDR-029,2024-04-16 18:11:25,2024-04-16 18:45:25,South Delhi,2.1,success
DEL-7225,ORD-100276,RDR-029,2024-04-16 14:08:08,2024-04-16 14:39:08,HSR Layout,3.2,success
DEL-7226,ORD-100278,RDR-001,2024-04-16 14:49:14,,Koramangala,6.4,failed
DEL-7227,ORD-100279,RDR-015,2024-04-16 20:36:47,2024-04-16 21:29:47,Dwarka,1.8,success
DEL-7228,ORD-100281,RDR-015,2024-04-16 17:23:52,2024-04-16 18:08:52,North Delhi,3.9,success
DEL-7229,ORD-100282,RDR-017,2024-04-16 13:01:37,,HSR Layout,6.1,failed
DEL-7230,ORD-100287,RDR-002,2024-04-16 13:39:11,2024-04-16 14:20:11,Karol Bagh,7.4,success
