delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7001,ORD-100001,RDR-026,2024-04-11 22:19:13,2024-04-11 23:22:13,Indiranagar,3.2,success
DEL-7002,ORD-100002,RDR-008,2024-04-11 11:17:02,,Karol Bagh,4.5,failed
DEL-7003,ORD-100003,RDR-018,2024-04-11 08:26:48,,Rohini,6.8,failed
DEL-7004,ORD-100005,RDR-014,2024-04-11 10:17:18,2024-04-11 11:22:18,Jayanagar,2.5,success
DEL-7005,ORD-100010,RDR-001,2024-04-11 14:06:01,2024-04-11 14:45:01,Hebbal,1.8,success
DEL-7006,ORD-100011,RDR-003,2024-04-11 19:52:45,,Dwarka,5.6,failed
DEL-7007,ORD-100013,RDR-016,2024-04-11 23:00:27,,Karol Bagh,3.4,failed
DEL-7008,ORD-100014,RDR-023,2024-04-11 13:05:13,2024-04-11 14:09:13,Karol Bagh,4.3,success
DEL-7009,ORD-100015,RDR-018,2024-04-11 22:11:01,,Borivali,8.0,failed
DEL-7010,ORD-100016,RDR-016,2024-04-11 19:11:29,2024-04-11 19:43:29,Kurla,2.5,success
DEL-7011,ORD-100017,RDR-021,2024-04-11 16:33:53,2024-04-11 17:37:53,Andheri West,7.6,success
DEL-7012,ORD-100018,RDR-010,2024-04-11 11:06:00,2024-04-11 11:35:00,Kurla,6.7,success
DEL-7013,ORD-100020,RDR-008,2024-04-11 16:14:05,,Rohini,3.0,failed
DEL-7014,ORD-100022,RDR-015,2024-04-11 16:32:09,2024-04-11 17:24:09,Thane,4.8,success
DEL-7015,ORD-100023,RDR-015,2024-04-11 09:30:27,2024-04-11 10:20:27,Andheri West,4.6,success
DEL-7016,ORD-100025,RDR-025,2024-04-11 17:27:20,2024-04-11 18:20:20,Jayanagar,3.5,success
DEL-7017,ORD-100026,RDR-027,2024-04-11 21:58:03,,HSR Layout,1.7,failed
DEL-7018,ORD-100027,RDR-025,2024-04-11 21:23:41,2024-04-11 22:38:41,Thane,1.5,success
DEL-7019,ORD-100028,RDR-011,2024-04-11 18:26:50,,Whitefield,4.2,failed
DEL-7020,ORD-100029,RDR-005,2024-04-11 15:02:24,,Indiranagar,1.1,failed
DEL-7021,ORD-100030,RDR-014,2024-04-11 11:21:30,2024-04-11 11:55:30,South Delhi,6.2,success
DEL-7022,ORD-100031,RDR-022,2024-04-11 10:42:10,2024-04-11 11:35:10,Jayanagar,3.9,success
DEL-7023,ORD-100032,RDR-026,2024-04-11 12:35:05,2024-04-11 13:37:05,Whitefield,1.1,success
DEL-7024,ORD-100033,RDR-013,2024-04-11 17:20:34,,Rohini,1.7,failed
DEL-7025,ORD-100034,RDR-025,2024-04-11 18:52:18,2024-04-11 19:55:18,Lajpat Nagar,6.3,success
DEL-7026,ORD-100035,RDR-006,2024-04-11 11:09:40,2024-04-11 11:49:40,Andheri East,6.2,success
DEL-7027,ORD-100036,RDR-026,2024-04-11 12:21:34,,Lajpat Nagar,7.8,failed
DEL-7028,ORD-100038,RDR-010,2024-04-11 20:05:40,2024-04-11 20:27:40,Thane,7.6,success
DEL-7029,ORD-100039,RDR-007,2024-04-11 10:29:15,2024-04-11 10:51:15,HSR Layout,5.8,success
DEL-7030,ORD-100040,RDR-001,2024-04-11 21:46:54,2024-04-11 22:47:54,Indiranagar,5.5,success
DEL-7031,ORD-100041,RDR-026,2024-04-11 17:33:08,2024-04-11 18:01:08,Andheri West,4.8,success
DEL-7032,ORD-100042,RDR-024,2024-04-11 11:15:55,,Koramangala,4.7,failed
DEL-7033,ORD-100043,RDR-014,2024-04-11 22:39:49,,Andheri West,6.9,failed
DEL-7034,ORD-100045,RDR-009,2024-04-11 19:51:33,2024-04-11 20:38:33,Lajpat Nagar,3.2,success
DEL-7035,ORD-100047,RDR-004,2024-04-11 12:06:03,,Andheri East,2.6,failed
DEL-7036,ORD-100048,RDR-006,2024-04-11 18:25:48,2024-04-11 19:06:48,North Delhi,3.5,success
DEL-7037,ORD-100049,RDR-020,2024-04-11 19:37:09,2024-04-11 20:46:09,Dwarka,7.6,success
DEL-7038,ORD-100050,RDR-022,2024-04-11 08:22:10,2024-04-11 09:09:10,Borivali,1.8,success
DEL-7039,ORD-100051,RDR-011,2024-04-11 23:07:42,2024-04-12 00:15:42,Koramangala,2.8,success
DEL-7040,ORD-100053,RDR-013,2024-04-11 20:38:29,2024-04-11 21:13:29,Rohini,4.0,success
DEL-7041,ORD-100054,RDR-009,2024-04-11 09:46:55,2024-04-11 10:21:55,Dwarka,1.7,success
