delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7042,ORD-100055,RDR-017,2024-04-12 12:07:48,2024-04-12 13:04:48,Hebbal,1.4,success
DEL-7043,ORD-100056,RDR-019,2024-04-12 17:07:28,2024-04-12 17:55:28,Kurla,7.4,success
DEL-7044,ORD-100057,RDR-013,2024-04-12 17:53:30,2024-04-12 18:36:30,HSR Layout,7.4,success
DEL-7045,ORD-100058,RDR-022,2024-04-12 18:16:38,2024-04-12 18:57:38,Dwarka,1.6,success
DEL-7046,ORD-100060,RDR-027,2024-04-12 12:01:44,2024-04-12 12:53:44,Andheri West,6.4,success
DEL-7047,ORD-100061,RDR-025,2024-04-12 09:03:21,2024-04-12 09:51:21,Rohini,5.3,success
DEL-7048,ORD-100062,RDR-027,2024-04-12 15:00:15,,Thane,7.8,failed
DEL-7049,ORD-100063,RDR-017,2024-04-12 12:29:16,2024-04-12 13:06:16,South Delhi,4.1,success
DEL-7050,ORD-100064,RDR-012,2024-04-12 20:26:58,2024-04-12 21:10:58,Karol Bagh,8.0,success
DEL-7051,ORD-100065,RDR-007,2024-04-12 07:44:59,2024-04-12 08:09:59,Jayanagar,1.1,success
DEL-7052,ORD-100066,RDR-016,2024-04-12 20:31:49,2024-04-12 20:58:49,Borivali,6.9,success
DEL-7053,ORD-100067,RDR-018,2024-04-12 07:52:32,2024-04-12 08:16:32,Hebbal,7.7,success
DEL-7054,ORD-100069,RDR-007,2024-04-12 11:34:22,,Andheri West,1.3,failed
DEL-7055,ORD-100070,RDR-029,2024-04-12 14:34:02,,Rohini,6.2,failed
DEL-7056,ORD-100072,RDR-022,2024-04-12 16:34:28,2024-04-12 17:03:28,Lajpat Nagar,6.9,success
DEL-7057,ORD-100073,RDR-003,2024-04-12 08:48:04,2024-04-12 09:31:04,Jayanagar,4.1,success
DEL-7058,ORD-100075,RDR-003,2024-04-12 10:56:49,2024-04-12 11:58:49,Kurla,3.4,success
DEL-7059,ORD-100076,RDR-018,2024-04-12 17:24:19,2024-04-12 18:13:19,Bandra,6.6,success
DEL-7060,ORD-100079,RDR-029,2024-04-12 17:08:05,2024-04-12 18:10:05,HSR Layout,5.4,success
DEL-7061,ORD-100080,RDR-020,2024-04-12 18:11:59,2024-04-12 19:20:59,HSR Layout,5.0,success
DEL-7062,ORD-100081,RDR-011,2024-04-12 23:19:40,,Jayanagar,4.3,failed
DEL-7063,ORD-100082,RDR-004,2024-04-12 11:33:55,2024-04-12 12:21:55,Jayanagar,2.7,success
DEL-7064,ORD-100083,RDR-016,2024-04-12 16:48:55,,Borivali,7.2,failed
DEL-7065,ORD-100085,RDR-009,2024-04-12 20:34:56,,Rohini,6.4,failed
DEL-7066,ORD-100087,RDR-027,2024-04-12 08:30:45,2024-04-12 09:27:45,North Delhi,3.4,success
DEL-7067,ORD-100088,RDR-016,2024-04-12 23:03:36,2024-04-13 00:09:36,Jayanagar,1.4,success
DEL-7068,ORD-100089,RDR-014,2024-04-12 19:32:52,2024-04-12 20:18:52,Dwarka,5.8,success
DEL-7069,ORD-100090,RDR-008,2024-04-12 23:16:54,2024-04-13 00:15:54,Karol Bagh,4.4,success
DEL-7070,ORD-100091,RDR-003,2024-04-12 16:33:19,2024-04-12 17:11:19,Andheri East,7.7,success
DEL-7071,ORD-100093,RDR-019,2024-04-12 14:59:14,2024-04-12 16:08:14,Dwarka,1.6,success
DEL-7072,ORD-100094,RDR-021,2024-04-12 09:17:58,2024-04-12 09:58:58,Andheri West,3.0,success
DEL-7073,ORD-100095,RDR-024,2024-04-12 23:26:08,2024-04-13 00:31:08,Rohini,2.3,success
DEL-7074,ORD-100096,RDR-025,2024-04-12 16:54:43,,Andheri West,2.6,failed
DEL-7075,ORD-100097,RDR-030,2024-04-12 17:58:37,2024-04-12 19:02:37,Karol Bagh,1.8,success
DEL-7076,ORD-100098,RDR-004,2024-04-12 19:11:14,2024-04-12 19:35:14,HSR Layout,7.4,success
DEL-7077,ORD-100099,RDR-026,2024-04-12 14:00:34,2024-04-12 14:55:34,Jayanagar,4.2,success
DEL-7078,ORD-100100,RDR-016,2024-04-12 07:52:16,2024-04-12 08:16:16,South Delhi,7.9,success
