delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7112,ORD-100142,RDR-001,2024-04-14 19:00:20,2024-04-14 20:09:20,HSR Layout,7.6,success
DEL-7113,ORD-100143,RDR-005,2024-04-14 13:45:38,2024-04-14 14:28:38,Borivali,7.5,success
DEL-7114,ORD-100144,RDR-026,2024-04-14 20:41:34,2024-04-14 21:03:34,Indiranagar,7.5,success
DEL-7115,ORD-100145,RDR-025,2024-04-14 17:00:45,,Karol Bagh,5.1,failed
DEL-7116,ORD-100146,RDR-017,2024-04-14 16:59:27,,Andheri West,7.7,failed
DEL-7117,ORD-100147,RDR-019,2024-04-14 15:36:23,2024-04-14 16:12:23,Whitefield,6.0,success
DEL-7118,ORD-100148,RDR-002,2024-04-14 22:42:32,2024-04-14 23:49:32,Kurla,4.6,success
DEL-7119,ORD-100149,RDR-019,2024-04-14 14:41:30,2024-04-14 15:18:30,Jayanagar,6.8,success
DEL-7120,ORD-100150,RDR-015,2024-04-14 11:06:43,2024-04-14 11:46:43,Bandra,1.6,success
DEL-7121,ORD-100151,RDR-014,2024-04-14 18:46:18,2024-04-14 19:15:18,HSR Layout,1.0,success
DEL-7122,ORD-100152,RDR-023,2024-04-14 15:13:22,2024-04-14 16:27:22,Indiranagar,4.6,success
DEL-7123,ORD-100153,RDR-005,2024-04-14 22:05:05,2024-04-14 22:29:05,Thane,7.6,success
DEL-7124,ORD-100154,RDR-011,2024-04-14 10:45:06,2024-04-14 11:18:06,Whitefield,6.9,success
DEL-7125,ORD-100155,RDR-004,2024-04-14 10:09:15,2024-04-14 11:20:15,South Delhi,6.6,success
DEL-7126,ORD-100156,RDR-027,2024-04-14 09:28:49,2024-04-14 09:53:49,Jayanagar,7.3,success
DEL-7127,ORD-100157,RDR-014,2024-04-14 10:13:29,2024-04-14 11:14:29,Andheri East,3.1,success
DEL-7128,ORD-100158,RDR-016,2024-04-14 22:38:05,2024-04-14 23:28:05,Thane,4.8,success
DEL-7129,ORD-100159,RDR-008,2024-04-14 17:41:17,2024-04-14 18:07:17,Karol Bagh,2.7,success
DEL-7130,ORD-100160,RDR-019,2024-04-14 09:20:14,2024-04-14 10:16:14,South Delhi,4.9,success
DEL-7131,ORD-100161,RDR-030,2024-04-14 23:00:19,,Indiranagar,1.0,failed
DEL-7132,ORD-100162,RDR-011,2024-04-14 14:12:08,,Indiranagar,5.1,failed
DEL-7133,ORD-100164,RDR-008,2024-04-14 17:01:44,2024-04-14 18:12:44,South Delhi,7.8,success
DEL-7134,ORD-100165,RDR-007,2024-04-14 11:29:31,2024-04-14 12:17:31,Kurla,1.1,success
DEL-7135,ORD-100166,RDR-009,2024-04-14 09:34:16,2024-04-14 10:12:16,Jayanagar,1.1,success
DEL-7136,ORD-100168,RDR-008,2024-04-14 07:59:41,2024-04-14 09:01:41,Thane,3.0,success
DEL-7137,ORD-100169,RDR-003,2024-04-14 08:41:36,2024-04-14 09:41:36,Indiranagar,3.0,success
