item_id,order_id,product_id,product_name,category,qty,unit_price,discount_pct
ITM-00543,ORD-100205,PRD-732,Real Guava Juice 1L,Beverages,1,85.0,5
ITM-00544,ORD-100205,PRD-801,Lays Classic Salted,Snacks,4,20.0,5
ITM-00545,ORD-100205,PRD-401,Basmati Rice 5kg,Staples,3,320.0,10
ITM-00546,ORD-100205,PRD-903,Head & Shoulders 180ml,Personal Care,1,199.0,0
ITM-00547,ORD-100206,PRD-401,Basmati Rice 5kg,Staples,2,320.0,15
ITM-00548,ORD-100206,PRD-603,Potatoes 1kg,Vegetables,1,22.0,0
ITM-00549,ORD-100207,PRD-210,Brown Bread,Bakery,1,40.0,15
ITM-00550,ORD-100207,PRD-502,Amul Full Cream Milk 1L,Dairy,5,68.0,15
ITM-00551,ORD-100207,PRD-402,Toor Dal 1kg,Staples,3,145.0,5
ITM-00552,ORD-100207,PRD-901,Colgate MaxFresh 150g,Personal Care,5,89.0,10
ITM-00553,ORD-100208,PRD-503,Paneer 200g,Dairy,3,89.0,0
ITM-00554,ORD-100208,PRD-403,Aashirvaad Atta 5kg,Staples,3,265.0,0
ITM-00555,ORD-100208,PRD-732,Real Guava Juice 1L,Beverages,2,85.0,10
ITM-00556,ORD-100208,PRD-731,Tropicana Orange 1L,Beverages,5,99.0,5
ITM-00557,ORD-100209,PRD-601,Tomatoes 1kg,Vegetables,3,35.0,10
ITM-00558,ORD-100210,PRD-209,Whole Wheat Bread,Bakery,2,45.0,10
ITM-00559,ORD-100211,PRD-903,Head & Shoulders 180ml,Personal Care,2,199.0,0
ITM-00560,ORD-100212,PRD-601,Tomatoes 1kg,Vegetables,3,35.0,0
ITM-00561,ORD-100212,PRD-603,Potatoes 1kg,Vegetables,4,22.0,15
ITM-00562,ORD-100212,PRD-902,Dettol Soap 75g,Personal Care,1,45.0,10
ITM-00563,ORD-100212,PRD-602,Onions 1kg,Vegetables,1,28.0,15
ITM-00564,ORD-100213,PRD-901,Colgate MaxFresh 150g,Personal Care,4,89.0,5
ITM-00565,ORD-100213,PRD-503,Paneer 200g,Dairy,4,89.0,15
ITM-00566,ORD-100213,PRD-401,Basmati Rice 5kg,Staples,1,320.0,5
ITM-00567,ORD-100214,PRD-802,Britannia Good Day,Snacks,5,35.0,0
ITM-00568,ORD-100215,PRD-211,Multigrain Buns (6pk),Bakery,5,55.0,0
ITM-00569,ORD-100215,PRD-732,Real Guava Juice 1L,Beverages,2,85.0,0
ITM-00570,ORD-100216,PRD-402,Toor Dal 1kg,Staples,2,145.0,0
ITM-00571,ORD-100216,PRD-403,Aashirvaad Atta 5kg,Staples,3,265.0,10
ITM-00572,ORD-100216,PRD-210,Brown Bread,Bakery,1,40.0,0
ITM-00573,ORD-100216,PRD-903,Head & Shoulders 180ml,Personal Care,3,199.0,5
ITM-00574,ORD-100217,PRD-732,Real Guava Juice 1L,Beverages,4,85.0,0
ITM-00575,ORD-100217,PRD-902,Dettol Soap 75g,Personal Care,3,45.0,0
ITM-00576,ORD-100218,PRD-211,Multigrain Buns (6pk),Bakery,5,55.0,0
ITM-00577,ORD-100219,PRD-803,Maggi 12-pack,Snacks,3,144.0,10
ITM-00578,ORD-100219,PRD-731,Tropicana Orange 1L,Beverages,5,99.0,5
ITM-00579,ORD-100219,PRD-502,Amul Full Cream Milk 1L,Dairy,2,68.0,0
ITM-00580,ORD-100219,PRD-802,Britannia Good Day,Snacks,4,35.0,0
ITM-00581,ORD-100220,PRD-801,Lays Classic Salted,Snacks,4,20.0,0
ITM-00582,ORD-100220,PRD-210,Brown Bread,Bakery,2,40.0,10
ITM-00583,ORD-100221,PRD-502,Amul Full Cream Milk 1L,Dairy,2,68.0,10
ITM-00584,ORD-100221,PRD-903,Head & Shoulders 180ml,Personal Care,3,199.0,5
ITM-00585,ORD-100222,PRD-601,Tomatoes 1kg,Vegetables,4,35.0,0
ITM-00586,ORD-100222,PRD-902,Dettol Soap 75g,Personal Care,5,45.0,15
ITM-00587,ORD-100223,PRD-801,Lays Classic Salted,Snacks,2,20.0,5
ITM-00588,ORD-100224,PRD-402,Toor Dal 1kg,Staples,4,145.0,5
ITM-00589,ORD-100224,PRD-209,Whole Wheat Bread,Bakery,2,45.0,10
ITM-00590,ORD-100224,PRD-604,Spinach 500g,Vegetables,2,30.0,15
ITM-00591,ORD-100224,PRD-903,Head & Shoulders 180ml,Personal Care,4,199.0,0
ITM-00592,ORD-100225,PRD-801,Lays Classic Salted,Snacks,5,20.0,10
ITM-00593,ORD-100225,PRD-601,Tomatoes 1kg,Vegetables,1,35.0,15
ITM-00594,ORD-100226,PRD-901,Colgate MaxFresh 150g,Personal Care,5,89.0,0
ITM-00595,ORD-100226,PRD-903,Head & Shoulders 180ml,Personal Care,2,199.0,15
ITM-00596,ORD-100227,PRD-209,Whole Wheat Bread,Bakery,2,45.0,10
ITM-00597,ORD-100227,PRD-501,Amul Butter 500g,Dairy,5,55.0,15
ITM-00598,ORD-100228,PRD-901,Colgate MaxFresh 150g,Personal Care,1,89.0,15
ITM-00599,ORD-100228,PRD-802,Britannia Good Day,Snacks,4,35.0,10
ITM-00600,ORD-100229,PRD-604,Spinach 500g,Vegetables,3,30.0,10
ITM-00601,ORD-100229,PRD-732,Real Guava Juice 1L,Beverages,5,85.0,5
ITM-00602,ORD-100229,PRD-503,Paneer 200g,Dairy,3,89.0,0
ITM-00603,ORD-100230,PRD-602,Onions 1kg,Vegetables,5,28.0,0
ITM-00604,ORD-100230,PRD-902,Dettol Soap 75g,Personal Care,3,45.0,10
ITM-00605,ORD-100231,PRD-733,Bisleri Water 1L,Beverages,4,20.0,15
ITM-00606,ORD-100231,PRD-401,Basmati Rice 5kg,Staples,2,320.0,15
ITM-00607,ORD-100231,PRD-803,Maggi 12-pack,Snacks,1,144.0,15
ITM-00608,ORD-100231,PRD-403,Aashirvaad Atta 5kg,Staples,2,265.0,5
ITM-00609,ORD-100232,PRD-901,Colgate MaxFresh 150g,Personal Care,2,89.0,0
