item_id,order_id,product_id,product_name,category,qty,unit_price,discount_pct
ITM-00367,ORD-100142,PRD-732,Real Guava Juice 1L,Beverages,5,85.0,10
ITM-00368,ORD-100143,PRD-902,Dettol Soap 75g,Personal Care,4,45.0,5
ITM-00369,ORD-100143,PRD-502,Amul Full Cream Milk 1L,Dairy,1,68.0,0
ITM-00370,ORD-100143,PRD-732,Real Guava Juice 1L,Beverages,4,85.0,15
ITM-00371,ORD-100144,PRD-501,Amul Butter 500g,Dairy,5,55.0,0
ITM-00372,ORD-100145,PRD-503,Paneer 200g,Dairy,2,89.0,0
ITM-00373,ORD-100145,PRD-902,Dettol Soap 75g,Personal Care,1,45.0,0
ITM-00374,ORD-100145,PRD-802,Britannia Good Day,Snacks,1,35.0,10
ITM-00375,ORD-100145,PRD-901,Colgate MaxFresh 150g,Personal Care,2,89.0,0
ITM-00376,ORD-100146,PRD-209,Whole Wheat Bread,Bakery,3,45.0,15
ITM-00377,ORD-100146,PRD-603,Potatoes 1kg,Vegetables,2,22.0,0
ITM-00378,ORD-100146,PRD-901,Colgate MaxFresh 150g,Personal Care,1,89.0,15
ITM-00379,ORD-100146,PRD-502,Amul Full Cream Milk 1L,Dairy,2,68.0,15
ITM-00380,ORD-100147,PRD-501,Amul Butter 500g,Dairy,3,55.0,5
ITM-00381,ORD-100148,PRD-403,Aashirvaad Atta 5kg,Staples,3,265.0,0
ITM-00382,ORD-100148,PRD-211,Multigrain Buns (6pk),Bakery,5,55.0,15
ITM-00383,ORD-100149,PRD-502,Amul Full Cream Milk 1L,Dairy,4,68.0,0
ITM-00384,ORD-100149,PRD-802,Britannia Good Day,Snacks,3,35.0,0
ITM-00385,ORD-100150,PRD-601,Tomatoes 1kg,Vegetables,1,35.0,5
ITM-00386,ORD-100151,PRD-603,Potatoes 1kg,Vegetables,5,22.0,5
ITM-00387,ORD-100151,PRD-403,Aashirvaad Atta 5kg,Staples,2,265.0,15
ITM-00388,ORD-100152,PRD-401,Basmati Rice 5kg,Staples,2,320.0,5
ITM-00389,ORD-100152,PRD-209,Whole Wheat Bread,Bakery,4,45.0,0
ITM-00390,ORD-100152,PRD-731,Tropicana Orange 1L,Beverages,2,99.0,15
ITM-00391,ORD-100152,PRD-801,Lays Classic Salted,Snacks,3,20.0,0
ITM-00392,ORD-100153,PRD-503,Paneer 200g,Dairy,2,89.0,0
ITM-00393,ORD-100153,PRD-803,Maggi 12-pack,Snacks,3,144.0,0
ITM-00394,ORD-100153,PRD-502,Amul Full Cream Milk 1L,Dairy,3,68.0,5
ITM-00395,ORD-100153,PRD-602,Onions 1kg,Vegetables,3,28.0,0
ITM-00396,ORD-100154,PRD-209,Whole Wheat Bread,Bakery,4,45.0,0
ITM-00397,ORD-100154,PRD-802,Britannia Good Day,Snacks,4,35.0,0
ITM-00398,ORD-100154,PRD-403,Aashirvaad Atta 5kg,Staples,1,265.0,0
ITM-00399,ORD-100154,PRD-731,Tropicana Orange 1L,Beverages,2,99.0,15
ITM-00400,ORD-100155,PRD-733,Bisleri Water 1L,Beverages,4,20.0,5
ITM-00401,ORD-100155,PRD-211,Multigrain Buns (6pk),Bakery,5,55.0,15
ITM-00402,ORD-100155,PRD-501,Amul Butter 500g,Dairy,5,55.0,0
ITM-00403,ORD-100156,PRD-403,Aashirvaad Atta 5kg,Staples,5,265.0,10
ITM-00404,ORD-100156,PRD-903,Head & Shoulders 180ml,Personal Care,3,199.0,0
ITM-00405,ORD-100156,PRD-902,Dettol Soap 75g,Personal Care,1,45.0,0
ITM-00406,ORD-100156,PRD-503,Paneer 200g,Dairy,2,89.0,15
ITM-00407,ORD-100157,PRD-601,Tomatoes 1kg,Vegetables,4,35.0,0
ITM-00408,ORD-100157,PRD-604,Spinach 500g,Vegetables,3,30.0,0
ITM-00409,ORD-100157,PRD-501,Amul Butter 500g,Dairy,2,55.0,0
ITM-00410,ORD-100157,PRD-903,Head & Shoulders 180ml,Personal Care,3,199.0,5
ITM-00411,ORD-100158,PRD-902,Dettol Soap 75g,Personal Care,2,45.0,15
ITM-00412,ORD-100158,PRD-801,Lays Classic Salted,Snacks,5,20.0,0
ITM-00413,ORD-100159,PRD-501,Amul Butter 500g,Dairy,1,55.0,5
ITM-00414,ORD-100159,PRD-733,Bisleri Water 1L,Beverages,5,20.0,0
