order_id,customer_id,order_date,city,payment_mode,status
ORD-100321,CUST-1062,2024-04-17 10:36:34,Mumbai,Card,delivered
ORD-100322,,2024-04-17 10:40:44,Bengaluru,Wallet,delivered
ORD-100323,CUST-1005,2024-04-17 17:03:21,Mumbai,Wallet,delivered
ORD-100324,CUST-1023,2024-04-17 08:57:19,Bengaluru,Wallet,delivered
ORD-100325,CUST-1044,2024-04-17 19:20:07,Mumbai,COD,returned
ORD-100326,CUST-1071,2024-04-17 12:28:15,Mumbai,UPI,returned
ORD-100327,CUST-1067,2024-04-17 21:26:15,Bengaluru,UPI,delivered
ORD-100328,,2024-04-17 14:29:49,Delhi,Card,delivered
ORD-100329,,2024-04-17 20:16:21,Delhi,Wallet,returned
ORD-100330,CUST-1057,2024-04-17 17:26:12,Bengaluru,COD,delivered
ORD-100331,CUST-1079,2024-04-17 21:11:24,Bengaluru,COD,delivered
ORD-100332,CUST-1060,2024-04-17 21:26:10,Delhi,COD,delivered
ORD-100333,CUST-1076,2024-04-17 22:53:29,Bengaluru,UPI,delivered
ORD-100334,CUST-1061,2024-04-17 08:27:33,Delhi,Wallet,cancelled
ORD-100335,CUST-1011,2024-04-17 07:44:46,Mumbai,COD,cancelled
ORD-100336,CUST-1075,2024-04-17 07:29:29,Bengaluru,Wallet,delivered
ORD-100337,CUST-1074,2024-04-17 13:50:43,Delhi,Card,delivered
ORD-100338,CUST-1047,2024-04-17 12:41:35,Mumbai,COD,delivered
ORD-100339,CUST-1036,2024-04-17 08:04:23,Mumbai,Wallet,delivered
ORD-100340,,2024-04-17 13:57:56,Mumbai,UPI,cancelled
ORD-100341,CUST-1019,2024-04-17 22:09:55,Delhi,UPI,delivered
ORD-100342,CUST-1067,2024-04-17 17:26:37,Bengaluru,Card,delivered
ORD-100343,CUST-1021,2024-04-17 16:11:11,Bengaluru,COD,delivered
ORD-100344,CUST-1005,2024-04-17 17:22:09,Mumbai,Wallet,delivered
ORD-100345,CUST-1001,2024-04-17 17:41:45,Delhi,Wallet,delivered
ORD-100346,CUST-1040,2024-04-17 07:25:39,Delhi,Wallet,delivered
ORD-100347,CUST-1066,2024-04-17 19:12:31,Bengaluru,UPI,delivered
ORD-100348,CUST-1028,2024-04-17 21:47:26,Delhi,Card,cancelled
ORD-100349,CUST-1076,2024-04-17 19:05:00,Bengaluru,Card,cancelled
ORD-100350,CUST-1064,2024-04-17 21:14:01,Bengaluru,COD,delivered
ORD-100351,CUST-1034,2024-04-17 22:44:52,Mumbai,Card,delivered
ORD-100352,CUST-1046,2024-04-17 12:03:17,Delhi,Wallet,delivered
ORD-100353,CUST-1039,2024-04-17 15:43:44,Mumbai,UPI,delivered
ORD-100354,CUST-1072,2024-04-17 10:26:29,Mumbai,UPI,delivered
ORD-100355,CUST-1067,2024-04-17 17:11:45,Bengaluru,UPI,delivered
ORD-100356,,2024-04-17 20:44:48,Mumbai,UPI,delivered
ORD-100357,CUST-1016,2024-04-17 13:37:57,Mumbai,COD,delivered
