order_id,customer_id,order_date,city,payment_mode,status
ORD-100205,CUST-1058,2024-04-15 10:39:55,Mumbai,COD,returned
ORD-100206,CUST-1057,2024-04-15 14:58:40,Bengaluru,COD,delivered
ORD-100207,,2024-04-15 15:08:10,Mumbai,Card,returned
ORD-100208,CUST-1067,2024-04-15 09:50:32,Bengaluru,Wallet,delivered
ORD-100209,CUST-1031,2024-04-15 14:02:43,Mumbai,Wallet,delivered
ORD-100210,CUST-1066,2024-04-15 21:31:02,Bengaluru,COD,delivered
ORD-100211,CUST-1028,2024-04-15 20:53:06,Delhi,Wallet,delivered
ORD-100212,CUST-1023,2024-04-15 15:35:04,Bengaluru,COD,returned
ORD-100213,CUST-1010,2024-04-15 18:59:32,Mumbai,Card,delivered
ORD-100214,CUST-1070,2024-04-15 16:40:09,Delhi,Card,delivered
ORD-100215,CUST-1071,2024-04-15 09:19:13,Mumbai,COD,delivered
ORD-100216,,2024-04-15 09:18:42,Delhi,Card,delivered
ORD-100217,,2024-04-15 18:51:20,Mumbai,COD,cancelled
ORD-100218,CUST-1043,2024-04-15 22:29:28,Mumbai,Card,delivered
ORD-100219,CUST-1010,2024-04-15 09:57:01,Mumbai,UPI,returned
ORD-100220,CUST-1012,2024-04-15 19:23:32,Bengaluru,COD,delivered
ORD-100221,CUST-1006,2024-04-15 14:48:31,Delhi,UPI,delivered
ORD-100222,CUST-1042,2024-04-15 10:45:33,Delhi,Card,delivered
ORD-100223,CUST-1067,2024-04-15 19:22:52,Bengaluru,Wallet,delivered
ORD-100224,CUST-1020,2024-04-15 12:10:23,Mumbai,UPI,returned
ORD-100225,CUST-1066,2024-04-15 08:57:36,Bengaluru,UPI,delivered
ORD-100226,CUST-1061,2024-04-15 22:10:14,Delhi,COD,cancelled
ORD-100227,CUST-1044,2024-04-15 21:38:37,Mumbai,COD,delivered
ORD-100228,,2024-04-15 08:56:50,Bengaluru,UPI,returned
ORD-100229,CUST-1062,2024-04-15 19:22:37,Mumbai,UPI,returned
ORD-100230,CUST-1001,2024-04-15 19:41:13,Delhi,Wallet,delivered
ORD-100231,CUST-1051,2024-04-15 13:26:35,Delhi,Wallet,returned
ORD-100232,CUST-1044,2024-04-15 08:10:24,Mumbai,UPI,delivered
ORD-100233,CUST-1023,2024-04-15 22:28:00,Bengaluru,Card,delivered
ORD-100234,CUST-1051,2024-04-15 19:37:12,Delhi,UPI,returned
ORD-100235,CUST-1029,2024-04-15 13:29:59,Bengaluru,UPI,cancelled
ORD-100236,CUST-1033,2024-04-15 21:24:36,Bengaluru,COD,cancelled
ORD-100237,CUST-1030,2024-04-15 17:26:22,Mumbai,UPI,returned
ORD-100238,CUST-1024,2024-04-15 13:31:47,Bengaluru,COD,delivered
ORD-100239,CUST-1062,2024-04-15 18:39:20,Mumbai,Card,cancelled
ORD-100240,CUST-1005,2024-04-15 18:25:55,Mumbai,Wallet,delivered
ORD-100241,CUST-1044,2024-04-15 18:11:31,Mumbai,COD,cancelled
ORD-100242,CUST-1030,2024-04-15 10:46:17,Mumbai,Wallet,delivered
ORD-100243,CUST-1072,2024-04-15 08:25:06,Mumbai,UPI,delivered
ORD-100244,CUST-1045,2024-04-15 13:36:36,Delhi,COD,returned
ORD-100245,CUST-1044,2024-04-15 20:40:39,Mumbai,Wallet,returned
ORD-100246,CUST-1078,2024-04-15 19:17:56,Bengaluru,Card,cancelled
ORD-100247,,2024-04-15 10:04:59,Delhi,UPI,cancelled
ORD-100248,,2024-04-15 21:40:08,Mumbai,COD,delivered
ORD-100249,CUST-1073,2024-04-15 20:33:40,Mumbai,Card,returned
ORD-100250,CUST-1002,2024-04-15 22:48:30,Bengaluru,UPI,delivered
ORD-100251,CUST-1049,2024-04-15 14:16:05,Delhi,COD,cancelled
ORD-100252,CUST-1038,2024-04-15 10:40:29,Bengaluru,Wallet,returned
ORD-100253,CUST-1064,2024-04-15 13:21:26,Bengaluru,Wallet,delivered
ORD-100254,CUST-1032,2024-04-15 19:49:28,Bengaluru,UPI,delivered
ORD-100255,CUST-1006,2024-04-15 10:16:30,Delhi,COD,delivered
