order_id,customer_id,order_date,city,payment_mode,status
ORD-100001,CUST-1057,2024-04-11 21:43:13,Bengaluru,Wallet,returned
ORD-100002,CUST-1026,2024-04-11 11:01:02,Delhi,Wallet,delivered
ORD-100003,CUST-1019,2024-04-11 07:57:48,Delhi,Wallet,delivered
ORD-100004,CUST-1058,2024-04-11 12:47:55,Mumbai,Wallet,cancelled
ORD-100005,CUST-1057,2024-04-11 09:45:18,Bengaluru,Card,delivered
ORD-100006,CUST-1053,2024-04-11 17:34:29,Delhi,UPI,cancelled
ORD-100007,,2024-04-11 22:14:17,Bengaluru,Wallet,cancelled
ORD-100008,CUST-1076,2024-04-11 07:05:41,Bengaluru,COD,cancelled
ORD-100009,CUST-1042,2024-04-11 17:48:56,Delhi,Card,cancelled
ORD-100010,CUST-1032,2024-04-11 13:53:01,Bengaluru,COD,returned
ORD-100011,CUST-1040,2024-04-11 19:25:45,Delhi,UPI,delivered
ORD-100012,CUST-1065,2024-04-11 17:00:54,Delhi,Wallet,cancelled
ORD-100013,CUST-1069,2024-04-11 22:29:27,Delhi,Card,returned
ORD-100014,CUST-1042,2024-04-11 12:31:13,Delhi,Card,delivered
ORD-100015,CUST-1063,2024-04-11 21:50:01,Mumbai,Card,delivered
ORD-100016,CUST-1043,2024-04-11 18:44:29,Mumbai,Card,delivered
ORD-100017,CUST-1036,2024-04-11 16:06:53,Mumbai,Card,delivered
ORD-100018,CUST-1063,2024-04-11 10:55:00,Mumbai,Card,returned
ORD-100019,CUST-1011,2024-04-11 14:07:35,Mumbai,COD,cancelled
ORD-100020,CUST-1028,2024-04-11 15:42:05,Delhi,COD,delivered
ORD-100021,CUST-1037,2024-04-11 16:44:55,Mumbai,UPI,cancelled
ORD-100022,CUST-1020,2024-04-11 15:52:09,Mumbai,UPI,delivered
ORD-100023,,2024-04-11 08:56:27,Mumbai,Card,delivered
ORD-100024,CUST-1036,2024-04-11 12:37:27,Mumbai,UPI,cancelled
ORD-100025,CUST-1012,2024-04-11 17:16:20,Bengaluru,Wallet,delivered
ORD-100026,CUST-1064,2024-04-11 21:48:03,Bengaluru,Card,delivered
ORD-100027,CUST-1015,2024-04-11 21:07:41,Mumbai,Wallet,delivered
ORD-100028,CUST-1054,2024-04-11 17:59:50,Bengaluru,Card,returned
ORD-100029,,2024-04-11 14:36:24,Bengaluru,Wallet,delivered
ORD-100030,CUST-1053,2024-04-11 11:04:30,Delhi,Card,delivered
ORD-100031,,2024-04-11 10:28:10,Bengaluru,UPI,delivered
ORD-100032,CUST-1024,2024-04-11 12:11:05,Bengaluru,Wallet,returned
ORD-100033,CUST-1060,2024-04-11 16:43:34,Delhi,UPI,delivered
ORD-100034,CUST-1074,2024-04-11 18:36:18,Delhi,UPI,delivered
ORD-100035,CUST-1018,2024-04-11 10:57:40,Mumbai,Card,delivered
ORD-100036,CUST-1026,2024-04-11 11:50:34,Delhi,Card,delivered
ORD-100037,CUST-1072,2024-04-11 18:05:50,Mumbai,UPI,cancelled
ORD-100038,CUST-1034,2024-04-11 19:52:40,Mumbai,UPI,delivered
ORD-100039,CUST-1064,2024-04-11 10:06:15,Bengaluru,COD,returned
ORD-100040,CUST-1057,2024-04-11 21:15:54,Bengaluru,UPI,delivered
ORD-100041,,2024-04-11 17:15:08,Mumbai,COD,returned
ORD-100042,,2024-04-11 10:42:55,Bengaluru,COD,delivered
ORD-100043,CUST-1009,2024-04-11 22:28:49,Mumbai,UPI,delivered
ORD-100044,CUST-1014,2024-04-11 22:45:58,Delhi,UPI,cancelled
ORD-100045,CUST-1042,2024-04-11 19:38:33,Delhi,Wallet,delivered
ORD-100046,,2024-04-11 11:43:59,Mumbai,UPI,cancelled
ORD-100047,CUST-1048,2024-04-11 11:35:03,Mumbai,Card,returned
ORD-100048,CUST-1045,2024-04-11 18:07:48,Delhi,COD,delivered
ORD-100049,CUST-1019,2024-04-11 19:04:09,Delhi,UPI,delivered
ORD-100050,CUST-1011,2024-04-11 08:09:10,Mumbai,UPI,returned
ORD-100051,CUST-1076,2024-04-11 22:33:42,Bengaluru,UPI,delivered
ORD-100052,CUST-1016,2024-04-11 07:31:47,Mumbai,COD,cancelled
ORD-100053,CUST-1006,2024-04-11 20:01:29,Delhi,Card,delivered
ORD-100054,CUST-1068,2024-04-11 09:25:55,Delhi,Card,delivered
